document_id_a,document_id_b,relation,confidence,evidence_note
springer:10.1134_S1064229319080076,pochvovedenie:Pochved1908007Efremova,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=8, pages=923–934; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319080088,pochvovedenie:Pochved1908008Khomutova,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=8, pages=966–973; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S106422931908009X,pochvovedenie:Pochved1908009Kolesnikov,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=8, pages=986–992; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319080106,pochvovedenie:Pochved1908010Lupachev,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=10, pages=1157–1162; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S106422931908012X,pochvovedenie:Pochved1908012Semenov,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=8, pages=974–985; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319080143,pochvovedenie:Pochved1908014Tanasienko,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=8, pages=935–945; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319080155,pochvovedenie:Pochved1908015Tarkhov,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=8, pages=946–955; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319080167,pochvovedenie:Pochved1908016Zavarzina,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=8, pages=910–922; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319090035,pochvovedenie:Pochved1909003Gabov,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=9, pages=1049–1062; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319090047,pochvovedenie:Pochved1909004Larionov,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=10, pages=1278–1282; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319090059,pochvovedenie:Pochved1909005Makarov,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=9, pages=1039–1048; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319090060,pochvovedenie:Pochved1909006Nikonova,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=9, pages=1092–1103; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319090072,pochvovedenie:Pochved1909007Sapozhnikov,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=11, pages=1403–1410; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319090096,pochvovedenie:Pochved1909009Sushko,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=9, pages=1081–1091; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319090102,pochvovedenie:Pochved1909010Trubetskoi,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=9, pages=1063–1069; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
springer:10.1134_S1064229319090114,pochvovedenie:Pochved1909011Yakushev,translation_of,confirmed,"Exact original-Russian citation: year=2019, issue=9, pages=1070–1080; parsed from Springer text and cross-matched against the Pochvovedenie self-citation."
